,MAINTITLE,S_PARENT_OBJ_ID,S_TC_IN,S_TC_OUT,S_DURATION,EX_OLD_SEG_NUM,EX_OLD_OBJID,S_COMMENTS,S_SESSION,S_DAYS,S_LINEUMPIRE,S_LEGUMPIRE,S_STRIKER,S_NONSTRIKER,S_RUNNER,S_NONRUNNER,S_BOWLER,S_WINNINGBOWL,S_SUPEROVER,S_OVER,S_TEAMSCORE,S_SCORE,S_OFFTHEBAT,S_OVERTHROW,S_SHORTRUN,S_FREEHIT,S_EXTRABALLTYPE,S_NOBALLTYPE,S_BOUNDARYSCORED,S_TYPEOFSHOT,S_BALLTYPE,S_BOUNDARYCOMMENTATORSPICK,S_BOUNDARYCOMMENTATORSNAME,S_CREASEPOSITION,S_3RDUMPIREDECISION,S_WICKETTYPE,S_WICKETTYPE_QUAL,S_FIELDER,S_LOCATION,S_3RDUMPIREREFERRALBY,S_WICKETCOMMENTATORSPICK,S_WICKETCOMMENTATORSNAME,S_BOWLINGANGLE,S_RUNUP,S_APPEAL,S_CATCHAPPEAL,S_RUNOUTAPPEAL,S_LBWAPPEAL,S_STUMPINGAPPEAL,S_HANDLINGTHEBALLAPPEAL,S_OBSTRUCTINGFIELDERAPPEAL,S_UMPIREAPPEAL,S_WARNINGGIVEN,S_FIELDERNAME,S_FIELDERPOSITION,EX_FIELDINGTYPE,EX_FIELDINGTYPE1,S_RELAY,S_DIVE,S_JUMP,S_CHASETYPE,S_POORFIELDING,S_BACKUP,S_BACKUPTYPE,S_COMMENTATORSPICK,S_COMMENTATORSNAME,S_MISSEDCHANCE,S_MISSEDCHANCETYPE,S_MILESTONE,S_MILESTONETYPE,S_BATTINGMILESTONE,S_BATTINGMILESTONEDESC,S_BOWLINGMILESTONE,S_BOWLINGMILESTONEDESC,S_WICKETKEEPINGMILESTONE,S_WICKETKEEPINGMILESTONEDESC,S_FIELDINGMILESTONE,S_FIELDINGMILESTONEDESC,S_ALLROUNDMILESTONE,S_ALLROUNDMILESTONEDESC,S_PARTNERSHIPMILESTONE,S_PARTNERSHIPMILESTONEDESC,S_INDIVIDUALMILESTONEPLAYER,S_INDIVIDUALMILESTONEDESC,S_UMPIRINGMILESTONE,S_UMPIRINGMILESTONEDESC,S_UMPIRINGCOMMENTATORSPICK,S_UMPIRINGCOMMENTATORSNAME,S_CAPTAINCYCOMMENTATORSPICK,S_CAPTAINCYCOMMENTATORSNAME,S_BOWLERSRUNUPCOMMENTATORSPICK,S_BOWLERSRUNUPCOMMENTATORSNAME,S_RUNNINGBWWICKETSCOMMENTATORSPICK,S_RUNNINGBWWICKETSCOMMENTATORSNAME,S_WICKETKEEPINGCOMMENTATORSPICK,S_WICKETKEEPINGCOMMENTATORSNAME,S_BATTINGTYPECOMMENTATORSPICK,S_BATTINGTYPECOMMENTATORSNAME,S_BOWLINGTYPECOMMENTATORSPICK,S_BOWLINGTYPECOMMENTATORSNAME,S_FIELDINGCOMMENTATORSPICK,S_FIELDINGCOMMENTATORSNAME,S_BATSMANWALKINGOFFBEFOREUMPIREDECISION,S_FIELDINGCAPTAINRECALLINGBATSMAN,S_FIELDERAPPLAUDINGBATSMEN,S_FIELDERDECLARINGBOUNDARYONHISOWN,S_ACCEPTINGADROPCATCH,S_UNNECESSARYAPPEALS,S_BATSMANNOTACCEPTINGUMPIREDECISION,S_BODYLINEBOWLING,S_NEGATIVEBOWLING,S_BALLTAMPERING,S_PITCHTAMPERING,S_BOWLINGSPEED,S_GRAPHICS,S_PLAYINGCONDITION,S_GENERALANALYSIS,S_INTERACTION,S_EMOTION,S_EMOTIONPLAYERNAME,S_EMOTIONALASPECTS,S_GESTURE,S_PLAYERSHOWINGGESTURE,S_CAMERAVIEW,S_NORMALCROWD,S_CHEERLEADERS,S_CATCHBYCROWD,S_BANNER,S_MEXICANWAVES,S_COMMENTATORSBOX,S_PAVILLIONDUGOUTDRESSINGROOM,S_SCOREBOARD,S_ELECTRONICDISPLAY,S_FLAGVIEW,S_GROUND,S_OUTSIDESTADIUM,S_PITCH,S_STUMPVIEW,S_TROPHY,S_TEAMWALKINGINTOTHEFIELD,S_PLAYERWALKINGINTOTHEFIELD,S_UMPIRESWALKINGINTOTHEFIELD,S_FIELDERSCLOSINGIN,S_CAMERASHOTTYPE,S_CELEBRITYFOCUS,S_STYLESTATEMENT,S_EXTRAS,S_BRANDFOCUS,S_USUSALCRICKETGEAR,S_PLAYERINTERVIEW,S_MEMORABILIA,S_PLAYERCELEBRATION,S_INTERRUPTION,S_DUETOINCORRECTUMPIRING,S_LIGHTSFAIL,S_BADWEATHER,S_CROWDUNREST,S_SIGHTSCREENADJUSTMENT,S_STREAKERONFIELD,S_BEES,S_DOG,S_BIRD_BIRDS,S_BALLCHANGE,S_DRINKSBREAK,S_ADHOCDRINKSBREAK,S_INNINGSBREAK,S_ROLLINGTHEPITCH,S_BALLLOST,S_CHANGEOFGEAR,S_INJURY,S_CROWDINVASION,S_UNUSUAL,S_REPLAY,S_REPLAYOVER,S_TOTALTEAMWICKET,S_PITCHREPORT,S_TOSS,S_TEAMAREPRESENTATIVE,S_TEAMBREPRESENTATIVE,S_INTERVIEW,S_PRACTICESESSIONS,S_PRESENTATION,S_PRIZEDISTRIBUTION,S_VICTORYLAP,S_ADDITIONALEVENTS,S_EVENTS,S_EVENTTYPE
134,Segment_22,1221976,794000,821000,None,22,1327628,None,None,Day 3,Simon Taufel,Billy Doctrove,Salman Butt,Younis Khan,None,None,Anil Kumble,No,None,37.0,109,109,0,None,None,No,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,No,No,No,No,None,None,None,None,None,None,No,No,No,None,No,No,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,No,No,No,No,No,No,No,No,No,No,No,0,None,None,None,None,None,None,None,None,None,None,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,None,,,None,,,,,,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None
135,Segment_220,1221976,5618000,5622000,None,220,1327628,None,Session 3,Day 3,Simon Taufel,Billy Doctrove,Kamran Akmal,Misbah-ul-Haq,None,None,Anil Kumble,No,None,56.5,165,165,0,None,None,No,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,No,No,No,No,None,None,None,None,None,None,No,No,No,None,No,No,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,No,No,No,No,No,No,No,No,No,No,No,0,None,None,None,None,None,None,None,None,None,None,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,None,,,None,,,,,,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,56.5,None,None,None,None,None,None,None,None,None,None,None,None,None,None
136,Segment_221,1221976,5626000,5642000,None,221,1327628,None,Session 3,Day 3,Simon Taufel,Billy Doctrove,Kamran Akmal,Misbah-ul-Haq,None,None,Anil Kumble,No,None,57.0,165,165,0,None,None,No,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,No,No,No,No,None,None,None,None,None,None,No,No,No,None,No,No,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,No,No,No,No,No,No,No,No,No,No,No,0,None,None,None,None,None,None,None,None,None,None,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,None,,,None,,,,,,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None
137,Segment_222,1221976,5646000,5649000,None,222,1327628,Sun View,Session 3,Day 3,Billy Doctrove,Simon Taufel,Misbah-ul-Haq,Kamran Akmal,None,None,Harbhajan Singh,No,None,57.0,165,165,0,None,None,No,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,No,No,No,No,None,None,None,None,None,None,No,No,No,None,No,No,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,No,No,No,No,No,No,No,No,No,No,No,0,None,None,None,None,None,None,None,None,None,CROWD,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Zoom,,,None,,,,,,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None
138,Segment_23,1221976,821000,854000,None,23,1327628,None,None,Day 3,None,None,None,None,None,None,None,No,None,None,None,None,0,None,None,No,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,No,No,No,No,None,None,None,None,None,None,No,No,No,None,No,No,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,No,No,No,No,No,No,No,No,No,No,No,0,Team Statistics,None,BOWLING PERFORMANCES,None,None,None,None,None,None,None,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,None,,,None,,,,,,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None
139,Segment_24,1221976,855000,876000,None,24,1327628,None,None,Day 3,Billy Doctrove,Simon Taufel,Younis Khan,Salman Butt,None,None,Munaf Patel,No,None,37.1,109,109,0,None,None,No,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,No,No,No,No,None,None,None,None,None,None,No,No,No,None,No,No,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,No,No,No,No,No,No,No,No,No,No,No,0,None,None,None,None,None,None,None,None,None,None,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,None,,,None,,,,,,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None
140,Segment_25,1221976,876000,881000,None,25,1327628,None,None,Day 3,Billy Doctrove,Simon Taufel,Younis Khan,Salman Butt,None,None,Munaf Patel,No,None,37.1,109,109,0,None,None,No,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,No,No,No,No,None,None,None,None,None,None,No,No,No,None,No,No,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,No,No,No,No,No,No,No,No,No,No,No,0,None,None,None,None,None,None,None,None,None,None,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,None,,,None,,,,,,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,37.1,None,None,None,None,None,None,None,None,None,None,None,None,None,None
141,Segment_26,1221976,881000,914000,None,26,1327628,None,None,Day 3,None,None,None,None,None,None,None,No,None,None,None,None,0,None,None,No,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,No,No,No,No,None,None,None,None,None,None,No,No,No,None,No,No,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,No,No,No,No,No,No,No,No,No,No,No,0,None,None,None,None,None,None,None,None,None,"PAVILION_DUGOUT,CROWD",Yes,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,Zoom,,,None,,,,,,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None
142,Segment_27,1221976,915000,925000,None,27,1327628,None,None,Day 3,Billy Doctrove,Simon Taufel,Younis Khan,Salman Butt,None,None,Munaf Patel,No,None,37.2,109,109,0,None,None,No,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,No,No,No,No,None,None,None,None,None,None,No,No,No,None,No,No,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,No,No,No,No,No,No,No,No,No,No,No,0,None,None,None,None,None,None,None,None,None,None,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,None,,,None,,,,,,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None
143,Segment_28,1221976,925000,945000,None,28,1327628,None,None,Day 3,None,None,None,None,None,None,None,No,None,None,None,None,0,None,None,No,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,No,No,No,No,None,None,None,None,None,None,No,No,No,None,No,No,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,No,No,No,No,No,No,No,No,No,No,No,0,None,None,None,None,None,None,None,None,None,PAVILION_DUGOUT,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,Zoom,,,None,,,,,,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None
144,Segment_29,1221976,945000,963000,None,29,1327628,None,None,Day 3,Billy Doctrove,Simon Taufel,Younis Khan,Salman Butt,None,None,Munaf Patel,No,None,37.3,109,109,0,None,None,No,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,No,No,No,No,None,None,None,None,None,None,No,No,No,None,No,No,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,No,No,No,No,No,No,No,No,No,No,No,0,None,None,None,None,None,None,None,None,None,None,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,None,,,None,,,,,,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None
145,Segment_3,1221976,187000,259000,None,3,1327628,None,None,Day 3,None,None,None,None,None,None,None,No,None,None,None,None,0,None,None,No,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,No,No,No,No,None,None,None,None,None,None,No,No,No,None,No,No,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,No,No,No,No,No,No,No,No,No,No,No,0,None,None,None,None,None,None,None,None,None,"TEAM_WALKING_INTO_THE_FIELD,PLAYER_WALKING_INTO_THE_FIELD,UMPIRES_WALKING_INTO_THE_FIELD",No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,Yes,Yes,No,Zoom,,,None,,,,,,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None
146,Segment_30,1221976,964000,982000,None,30,1327628,None,None,Day 3,None,None,None,None,None,None,None,No,None,None,None,None,0,None,None,No,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,No,No,No,No,None,None,None,None,None,None,No,No,No,None,No,No,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,No,No,No,No,No,No,No,No,No,No,No,0,None,None,None,None,None,None,None,None,None,PAVILION_DUGOUT,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,Zoom,,,None,,,,,,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None
147,Segment_31,1221976,983000,997000,None,31,1327628,None,None,Day 3,Billy Doctrove,Simon Taufel,Younis Khan,Salman Butt,None,None,Munaf Patel,No,None,37.4,109,109,0,None,None,No,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,No,No,No,No,None,None,None,None,None,None,No,No,No,None,No,No,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,No,No,No,No,No,No,No,No,No,No,No,0,None,None,None,None,None,None,None,None,None,None,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,None,,,None,,,,,,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None
148,Segment_32,1221976,998000,1026000,None,32,1327628,None,None,Day 3,None,None,None,None,None,None,None,No,None,None,None,None,0,None,None,No,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,No,No,No,No,None,None,None,None,None,None,No,No,No,None,No,No,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,No,No,No,No,No,No,No,No,No,No,No,0,None,None,None,None,Crowd:Excitement,None,Crowd:Excitement,None,None,"BANNER,PAVILION_DUGOUT",No,No,No,Yes,No,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,Zoom,,,None,,,,,,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None
149,Segment_33,1221976,1027000,1048000,None,33,1327628,None,None,Day 3,Billy Doctrove,Simon Taufel,Younis Khan,Salman Butt,None,None,Munaf Patel,No,None,37.5,113,113,0,None,None,No,None,None,Four,Square Cut,Short Length,Positive,ARUN LAL,On The Crease,None,None,None,None,None,None,None,None,None,None,None,None,None,No,No,No,No,None,None,None,None,None,None,No,No,No,None,No,No,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,No,No,No,No,No,No,No,No,No,No,No,0,None,None,None,Consultation,None,None,None,None,None,None,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,None,,,None,,,,,,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None
150,Segment_34,1221976,1049000,1065000,None,34,1327628,None,None,Day 3,Billy Doctrove,Simon Taufel,Younis Khan,Salman Butt,None,None,Munaf Patel,No,None,37.5,113,113,0,None,None,No,None,None,Four,Square Cut,Short Length,Positive,ARUN LAL,On The Crease,None,None,None,None,None,None,None,None,None,None,None,None,None,No,No,No,No,None,None,None,None,None,None,No,No,No,None,No,No,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,No,No,No,No,No,No,No,No,No,No,No,0,None,None,None,Consultation,None,None,None,None,None,None,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,None,,,None,,,,,,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,37.5,None,None,None,None,None,None,None,None,None,None,None,None,None,None
151,Segment_35,1221976,1066000,1105000,None,35,1327628,None,None,Day 3,Billy Doctrove,Simon Taufel,Younis Khan,Salman Butt,None,None,Munaf Patel,No,None,38.0,113,113,0,None,None,No,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,No,No,No,No,None,None,None,None,None,None,No,No,No,None,No,No,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,No,No,No,No,No,No,No,No,No,No,No,0,None,None,None,None,None,None,None,None,None,None,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,None,,,None,,,,,,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None
152,Segment_36,1221976,1106000,1127000,None,36,1327628,None,None,Day 3,None,None,None,None,None,None,None,No,None,None,None,None,0,None,None,No,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,No,No,No,No,None,None,None,None,None,None,No,No,No,None,No,No,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,No,No,No,No,No,No,No,No,No,No,No,0,General Graphics,None,None,None,None,None,None,None,None,None,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,None,,,None,,,,,,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None
153,Segment_37,1221976,1128000,1174000,None,37,1327628,None,None,Day 3,Simon Taufel,Billy Doctrove,Salman Butt,Younis Khan,None,None,Anil Kumble,No,None,38.1,114,114,1,None,None,No,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,No,No,No,No,None,None,None,None,None,None,No,No,No,None,No,No,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,No,No,No,No,No,No,No,No,No,No,No,0,None,None,None,None,None,None,None,None,None,"PAVILION_DUGOUT,FLAGVIEW",No,No,No,No,No,No,Yes,No,No,Yes,No,No,No,No,No,No,No,No,No,Zoom,,,None,,,,,,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None
154,Segment_38,1221976,1175000,1192000,None,38,1327628,None,None,Day 3,Simon Taufel,Billy Doctrove,Younis Khan,Salman Butt,None,None,Anil Kumble,No,None,38.2,114,114,0,None,None,No,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,No,No,No,No,None,None,None,None,None,None,No,No,No,None,No,No,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,No,No,No,No,No,No,No,No,No,No,No,0,None,None,None,None,None,None,None,None,None,None,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,None,,,None,,,,,,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None
155,Segment_39,1221976,1193000,1210000,None,39,1327628,None,None,Day 3,Simon Taufel,Billy Doctrove,Younis Khan,Salman Butt,None,None,Anil Kumble,No,None,38.3,114,114,0,None,None,No,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,"Lbw,Line Umpire",None,None,Yes,No,No,No,None,None,None,None,None,None,No,No,No,None,No,No,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,No,No,No,No,No,No,No,No,No,No,No,0,None,None,None,None,None,None,None,None,None,None,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,None,,,None,,,,,,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None
156,Segment_4,1221976,260000,278000,None,4,1327628,None,None,Day 3,None,None,None,None,None,None,None,No,None,None,None,None,0,None,None,No,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,No,No,No,No,None,None,None,None,None,None,No,No,No,None,No,No,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,No,No,No,No,No,No,No,No,No,No,No,0,General Graphics,None,None,None,None,None,None,None,None,None,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,None,,,None,,,,,,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None
157,Segment_40,1221976,1211000,1220000,None,40,1327628,None,None,Day 3,Simon Taufel,Billy Doctrove,Younis Khan,Salman Butt,None,None,Anil Kumble,No,None,38.3,114,114,0,None,None,No,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,"Lbw,Line Umpire",None,None,Yes,No,No,No,None,None,None,None,None,None,No,No,No,None,No,No,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,No,No,No,No,No,No,No,No,No,No,No,0,None,None,None,None,None,None,None,None,None,None,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,None,,,None,,,,,,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,38.3,None,None,None,None,None,None,None,None,None,None,None,None,None,None
158,Segment_41,1221976,1221000,1246000,None,41,1327628,None,None,Day 3,Simon Taufel,Billy Doctrove,Younis Khan,Salman Butt,None,None,Anil Kumble,No,None,38.4,114,114,0,None,None,No,None,None,None,None,Leg Spin,None,None,None,None,Lbw,PLUMB,None,None,None,Positive,ARUN LAL,Over The Wicket,Short,None,None,None,No,No,No,No,None,None,None,None,None,None,No,No,No,None,No,No,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,No,No,No,No,No,No,No,No,No,No,No,0,None,None,None,None,Crowd:Excitement,None,Crowd:Excitement,None,None,None,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,None,,,None,,,,,,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None
